EventId,EventTemplate,Occurrences
E22,"('<*>', 'kernel:', 'ACPI:', 'Using', 'IOAPIC', 'for', 'interrupt', 'routing')",3907
E23,"('<*>', 'kernel:', 'Calibrating', 'delay', 'loop...', '<*>', 'BogoMIPS', '<*>')",6951
E24,"('<*>', 'kernel:', 'EXT3', 'FS', 'on', '<*>', 'internal', 'journal')",16108
E25,"('<*>', 'kernel:', 'Freeing', 'unused', 'kernel', 'memory:', '<*>', 'freed')",3904
E26,"('<*>', 'kernel:', 'PCI0', 'PALO', 'PBLO', 'VPR0', 'PBHI', 'PICH')",3917
E27,"('<*>', 'kernel:', 'PCI:', 'Probing', 'PCI', 'hardware', '(bus', '<*>')",3976
E28,"('<*>', 'kernel:', 'PCI:', 'Using', 'ACPI', 'for', 'IRQ', 'routing')",3900
E29,"('<*>', 'kernel:', 'Processor', '<*>', '<*>', 'APIC', 'version', '<*>')",8389
E30,"('<*>', 'kernel:', 'Uniform', 'Multi-Platform', 'E-IDE', 'driver', 'Revision:', '<*>')",3884
E31,"('<*>', 'kernel:', 'ip_tables:', '(C)', '<*>', 'Netfilter', 'core', 'team')",17190
E32,"('<*>', 'kernel:', 'kjournald', 'starting.', 'Commit', 'interval', '<*>', 'seconds')",16110
E33,"('<*>', 'kernel:', 'md:', 'md', 'driver', '<*>', '<*>', '<*>')",3792
E34,"('<*>', 'kernel:', 'scsi0', ':', 'LSI', 'Logic', 'MegaRAID', 'driver')",3212
E35,"('<*>', 'kernel:', 'sda:', 'asking', 'for', 'cache', 'data', 'failed')",3276
E36,"('<*>', 'kernel:', 'sda:', 'assuming', 'drive', 'cache:', 'write', 'through')",3262
E37,"('<*>', 'kernel:', 'time.c:', 'Using', '<*>', 'MHz', 'HPET', 'timer.')",4076
E38,"('<*>', 'kernel:', '<*>', 'module', 'license', '<*>', 'taints', 'kernel.')",3901
E39,"('<*>', 'date:', '<*>', '<*>', '<*>', '<*>', 'MST', '<*>')",4164
E40,"('<*>', 'fsck:', '<*>', 'clean,', '<*>', 'files,', '<*>', 'blocks')",16400
E41,"('<*>', 'rc.sysinit:', 'Setting', 'up', 'Logical', 'Volume', 'Management:', 'succeeded')",4043
E42,"('<*>', 'kernel:', 'Disabled', 'Privacy', 'Extensions', 'on', 'device', '<*>')",5058
E43,"('<*>', '<*>', 'Server', 'listening', 'on', '::', 'port', '<*>')",5106
E44,"('<*>', '<*>', '[smux_accept]', 'accepted', 'fd', '<*>', 'from', '<*>')",18365
E45,"('local@tbird-admin1', 'RPC:', 'failed', 'to', 'contact', 'portmap', '(errno', '<*>')",7
E46,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",273
E47,"('<*>', 'logger:', 'Kickstart', 'Install:', 'Reducing', 'mingetty', 'count', '...')",1276
E48,"('<*>', 'logger:', 'Kickstart', 'Install:', 'SNL', 'COE', 'Legal', 'Banner')",1275
E49,"('<*>', 'logger:', 'Kickstart', 'Install:', 'setup', 'CAP', 'sysconfig', 'file')",1274
E50,"('<*>', 'logger:', 'Kickstart', 'Install:', 'pdsh', '+', 'ssh', 'packages')",1272
E51,"('<*>', 'kernel:', 'PanFS', 'Client', 'version:', '<*>', '<*>', 'SMP')",8030
E52,"('<*>', 'kernel:', 'pan_trace:', 'panfs', 'trace', 'buffer', '<*>', 'added.')",7950
E53,"('<*>', '<*>', 'User', '<*>', 'coming', 'from', '<*>', 'authenticated.')",4412
E54,"('local@tbird-admin1', '<*>', 'RSDP', '<*>', '<*>', ')', '@', '<*>')",12
E55,"('local@tbird-admin1', '<*>', 'of', '<*>', '<*>', 'activated', '<*>', 'BogoMIPS).')",12
E56,"('local@tbird-admin1', '<*>', 'TSC', 'synchronization', '<*>', '<*>', 'CPUs:', 'passed.')",12
E57,"('local@tbird-admin1', '<*>', 'migration', 'cache', '<*>', 'timeout:', '<*>', 'msecs.')",12
E58,"('<*>', 'Adding', '<*>', 'swap', 'on', '<*>', '<*>', '<*>')",13
E59,"('local@tbird-admin1', 'Booting', 'processor', '<*>', 'rip', '<*>', 'rsp', '<*>')",34
E60,"('<*>', 'EXT3-fs:', 'mounted', 'filesystem', 'with', 'ordered', 'data', 'mode.')",40
E61,"('<*>', 'Intel(R)', '<*>', 'Network', 'Driver', '-', 'version', '<*>')",13
E62,"('<*>', '<*>', 'agpgart', '<*>', '<*>', '(c)', 'Dave', 'Jones')",13
E63,"('<*>', '<*>', '<*>', '<*>', '<*>', '>', '<*>', '<*>')",13
E64,"('<*>', 'RAMDISK:', 'Compressed', '<*>', '<*>', '<*>', '<*>', '<*>')",12
E65,"('<*>', 'syslogd:', '/var/log/cron:', '<*>', '<*>', '<*>', '<*>', '<*>')",2
E66,"('<*>', 'syslogd:', '/var/log/maillog:', '<*>', '<*>', '<*>', '<*>', '<*>')",4
E67,"('<*>', 'syslogd:', '/var/log/messages:', '<*>', '<*>', '<*>', '<*>', '<*>')",3
E68,"('<*>', 'syslogd:', '/var/log/secure:', '<*>', '<*>', '<*>', '<*>', '<*>')",2
E69,"('<*>', 'syslogd:', '/var/log/boot.log:', '<*>', '<*>', '<*>', '<*>', '<*>')",1
E70,"('local@tbird-admin1', 'Using', 'ACPI', '(MADT)', 'for', 'SMP', 'configuration', 'information')",12
E71,"('<*>', '<*>', '<*>', '<*>', 'Intel(R)', '<*>', 'Network', 'Connection')",26
E72,"('local@tbird-admin1', '<*>', 'Changing', 'permissions', 'on', 'special', 'file', '/dev/logsurfer')",14
E73,"('<*>', '<*>', 'Agent', 'forwarding', 'request', 'denied', 'in', 'configuration.')",31
E74,"('<*>', 'kernel:', 'Vendor:', 'SEAGATE', 'Model:', '<*>', 'Rev:', '<*>')",676
E75,"('<*>', 'kernel:', 'Copyright', '(c)', '<*>', 'LSI', 'Logic', 'Corporation')",700
E76,"('<*>', 'kernel:', 'Fusion', 'MPT', 'SCSI', 'Host', 'driver', '<*>')",694
E77,"('<*>', 'dhcpd:', 'No', 'subnet', 'declaration', 'for', '<*>', '<*>')",348
E78,"('<*>', '<*>', '<*>', '<*>', '<*>', 'Key', 'exchange', 'failed.')",18
E79,"('<*>', '<*>', '<*>', '<*>', '<*>', 'device=InfiniHost0,', '<*>', '<*>')",18
E80,"('<*>', '--', '<*>', 'LOGIN', 'ON', '<*>', 'BY', '<*>')",41
E81,"('<*>', 'mount:', 'mount.panfs', 'warning:', ""couldn't"", 'ping', 'address', '<*>')",957
E82,"('<*>', '<*>', '<*>', 'to=root,', '<*>', 'mailer=relay,', '<*>', 'stat=queued')",30
E83,"('<*>', '<*>', 'PAM', 'password', 'failed', 'for', 'user', '<*>')",39
E84,"('<*>', '<*>', 'WARNING:', 'DNS', 'lookup', 'failed', 'for', '<*>')",9
E85,"('<*>', '<*>', 'smartd', 'is', 'exiting', '(exit', 'status', '<*>')",465
E86,"('<*>', 'kernel:', 'LustreError:', '<*>', 'ASSERTION(eco->eco_refcount', '==', '<*>', 'failed')",11
E87,"('<*>', '<*>', 'no', 'server', 'suitable', 'for', 'synchronization', 'found')",587
E88,"('src@cadmin1', 'USB', 'Universal', 'Host', 'Controller', 'Interface', 'driver', '<*>')",3
E89,"('<*>', 'mount:', 'mount', 'to', 'NFS', 'server', ""'nfs1'"", 'failed')",474
E90,"('<*>', 'kernel:', 'fs_client_cap:', 'starting', 'to', 'scrub', 'the', 'caps')",3976
E91,"('<*>', 'kernel:', 'Vendor:', 'FUJITSU', 'Model:', '<*>', 'Rev:', '<*>')",2
E92,"('<*>', '<*>', '<*>', '<*>', '<*>', 'orphan', 'inodes', 'deleted')",1
E93,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'rsp:7fbfffea88', '<*>')",1
E94,"('<*>', '<*>', '<*>', '<*>', '<*>', 'in', 'FATAL', 'state')",1
E95,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'rsp:7fbfffd770', '<*>')",1
E96,"('<*>', '<*>', '<*>', '<*>', '<*>', 'Joliet', 'Level', '<*>')",1
E97,"('<*>', 'kernel:', '<*>', '<*>', 'print_track_arr:', '<*>', '<*>', '<*>')",274
E98,"('<*>', 'kernel:', 'TCP:', 'drop', 'open', 'request', 'from', '<*>')",13
E99,"('<*>', 'kernel:', 'dcdbas:', 'BIOS', 'Update', 'phys', 'addr:', '<*>')",7892
E100,"('<*>', 'mount:', 'mount.panfs:', 'failed', 'local', 'addresses:', '<*>', '<*>')",1
E101,"('<*>', 'kernel:', '<*>', 'page', 'allocation', 'failure.', '<*>', '<*>')",998
E102,"('<*>', '<*>', '<*>', 'login', '<*>', 'for', '<*>', '<*>')",3
E103,"('<*>', 'kernel:', '<*>', '<*>', 'list', 'of', 'outstanding', 'tokens:')",3
E104,"('<*>', 'kernel:', '<*>', '<*>', 'XHH_hob_query_port_prop:', 'cmdif', 'returned', 'FATAL')",2
E105,"('<*>', '<*>', ""can't"", 'open', '/var/lib/ntp/drift.TEMP:', 'Read-only', 'file', 'system')",511
E106,"('local@tbird-admin1', '<*>', '<*>', '<*>', '<*>', '<*>', '(queue', 'active)')",5761
E107,"('local@tbird-admin1', '<*>', '<*>', '<*>', 'status=expired,', 'returned', 'to', 'sender')",1
E108,"('<*>', '--', '<*>', 'DIALUP', 'AT', 'ttyS0', 'BY', '<*>')",5
E109,"('<*>', '<*>', 'eth1:', 'e1000_watchdog:', 'NIC', 'Link', 'is', 'Down')",12
E110,"('<*>', 'fsck:', '[/sbin/fsck.ext3', '<*>', '--', '/var]', 'fsck.ext3', '-a')",1
E111,"('<*>', 'kernel:', 'usb', '<*>', 'USB', 'disconnect,', 'address', '<*>')",1
E112,"('<*>', 'kernel:', '<*>', '<*>', 'high', '<*>', 'batch', '<*>')",2
E113,"('<*>', 'kernel:', '<*>', 'req_perm', '=', 'READ', '|', 'WRITE')",273
E114,"('<*>', '<*>', '<*>', 'from=root,', '<*>', '<*>', '<*>', '<*>')",5
E115,"('src@cadmin1', '<*>', 'trap', 'invalid', 'operand', '<*>', 'rsp:7fbfffe5d8', '<*>')",2
E116,"('src@cadmin1', '<*>', 'trap', 'invalid', 'operand', '<*>', 'rsp:7fbfffe5f8', '<*>')",2
E117,"('src@cadmin1', '<*>', 'trap', 'invalid', 'operand', '<*>', 'rsp:7fbfffe828', '<*>')",2
E118,"('src@cadmin1', '<*>', 'trap', 'invalid', 'operand', '<*>', 'rsp:7fbfffe848', '<*>')",2
E119,"('<*>', '--', '<*>', 'LOGIN', 'ON', 'tty1', 'BY', '<*>')",1
E120,"('tsqe1/tsqe1', '--', '<*>', 'LOGIN', 'ON', 'ttyS0', 'BY', '<*>')",1
E121,"('<*>', '<*>', 'open', '(/var/lib/nfs/statd/state):', 'Stale', 'NFS', 'file', 'handle')",3
E122,"('local@tbird-admin1', '<*>', 'warning:', 'unable', 'to', 'look', 'up', 'public/pickup:', 'No', 'such', 'file', 'or', 'directory')",5306
E123,"('local@tbird-admin1', '<*>', 'The', 'latest', '<*>', 'about', '<*>', '<*>', 'available', '<*>', '<*>', 'web', '<*>')",1
E124,"('local@tbird-admin1', '<*>', 'warning:', 'you', '<*>', 'need', '<*>', '<*>', 'smtp', '<*>', '<*>', 'helo', '<*>')",1
E125,"('local@tbird-admin1', 'mysql_install_db:', 'To', 'do', 'so,', 'start', '<*>', 'server,', 'then', 'issue', '<*>', 'following', 'commands:')",1
E126,"('local@tbird-admin1', 'mysql_install_db:', 'To', 'start', 'mysqld', 'at', '<*>', 'time', 'you', 'have', '<*>', 'copy', 'support-files/mysql.server')",1
E127,"('<*>', 'dhcpd:', 'DHCPREQUEST', 'for', '<*>', '<*>', 'from', '<*>', 'via', 'eth1:', 'unknown', 'lease', '<*>')",27743
E128,"('<*>', 'kernel:', 'ACPI:', '<*>', '<*>', 'DELL', 'PE', 'BKC', '<*>', 'MSFT', '<*>', '@', '<*>')",24392
E129,"('<*>', 'kernel:', '<*>', 'emulation', '$Id:', 'sys_ia32.c,', 'v', '<*>', '<*>', '<*>', 'ak', 'Exp', '$')",3839
E130,"('<*>', 'kernel:', 'Kernel', 'command', 'line:', 'ro', '<*>', 'tsc', '<*>', 'console=ttyS0,', '<*>', 'rhgb', 'quiet')",4082
E131,"('<*>', 'kernel:', 'Mellanox', 'Tavor', 'Device', 'Driver', 'is', 'creating', 'device', '""InfiniHost0""', '<*>', '<*>', '<*>')",3912
E132,"('<*>', 'kernel:', 'RAMDISK', 'driver', 'initialized:', '<*>', 'RAM', 'disks', 'of', '<*>', 'size', '<*>', 'blocksize')",3887
E133,"('<*>', 'kernel:', 'Serial:', '<*>', 'driver', '$Revision:', '<*>', '$', '<*>', 'ports,', 'IRQ', 'sharing', 'enabled')",3836
E134,"('<*>', 'kernel:', '<*>', '<*>', 'e1000_watchdog:', 'NIC', 'Link', 'is', 'Up', '<*>', 'Mbps', 'Full', 'Duplex')",3473
E135,"('<*>', 'kernel:', 'megaraid', 'cmm:', '<*>', '(Release', 'Date:', 'Mon', 'Mar', '<*>', '<*>', 'EST', '<*>')",3147
E136,"('<*>', 'mount.panfs:', 'pan_ips:', 'error', '--', 'real', 'init,', '<*>', '(Out', 'of', 'memory),', '<*>', '<*>')",1924
E137,"('<*>', 'ACPI:', 'PCI', 'interrupt', '<*>', '->', 'GSI', '<*>', '(level,', 'low)', '->', 'IRQ', '<*>')",147
E138,"('<*>', 'Attached', 'scsi', 'disk', 'sda', 'at', 'scsi0,', 'channel', '<*>', 'id', '<*>', 'lun', '<*>')",13
E139,"('local@tbird-admin1', 'Memory:', '<*>', 'available', '<*>', 'kernel', 'code,', '<*>', 'reserved,', '<*>', 'data,', '<*>', 'init)')",12
E140,"('<*>', 'ide:', 'Assuming', '<*>', 'system', 'bus', 'speed', 'for', 'PIO', 'modes;', 'override', 'with', 'idebus=xx')",13
E141,"('local@tbird-admin1', 'gmetad:', 'Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'dadmin2', 'dadmin3', '<*>')",12
E142,"('local@tbird-admin1', '<*>', 'Cannot', 'open', 'file', '<*>', 'for', 'writing', '(No', 'such', 'file', 'or', 'directory)')",36633
E143,"('src@tbird-sm1', '<*>', '<*>', 'Set', 'port', '<*>', '<*>', 'DOWN', '(port', 'prefix', '<*>', 'subnet_prefix', '<*>')",7849
E144,"('<*>', '<*>', 'System', 'clock', 'time', 'adjusted', 'to', 'the', 'past.', 'Resetting', 'next', 'wakeup', 'time.')",402
E145,"('src@tbird-sm1', '<*>', '<*>', 'An', 'existing', 'IB', 'node', 'GUID', '<*>', 'LID', '<*>', 'was', 'removed')",10478
E146,"('<*>', '<*>', 'auths-pam:', 'PAM', 'subprocess', 'returned', 'packet', 'SSH_PAM_OP_ERROR.', '(err_num:', '<*>', 'err_msg:', 'Authentication', 'failure)')",39
E147,"('<*>', 'sudo:', '<*>', ':', '<*>', ';', '<*>', ';', 'USER=root', ';', '<*>', '<*>', '<*>')",24
E148,"('<*>', 'ifup:', 'ts_ipoib', 'device', '<*>', 'does', 'not', 'seem', 'to', 'be', 'present,', 'delaying', 'initialization.')",5
E149,"('src@tbird-sm1', '<*>', '<*>', 'Failed', 'to', 'get', 'PortInfo', 'from', 'IB', 'node', '<*>', 'port', '<*>')",38
E150,"('<*>', '<*>', 'BIOS', 'update', 'verification', 'was', 'successful.', 'Version', 'expected:', '<*>', 'Version', 'found:', '<*>')",369
E151,"('<*>', 'kernel:', 'SCSI', 'error', ':', '<*>', '<*>', '<*>', '<*>', 'return', 'code', '=', '<*>')",196
E152,"('<*>', '<*>', 'disconnected', 'by', 'application', 'in', 'remote:', ""'Disconnect"", 'requested', 'by', 'Windows', 'SSH', ""Client.'"")",4
E153,"('local@tbird-admin1', '<*>', 'warning:', 'you', 'may', 'need', 'to', 'increase', 'the', 'main.cf', '<*>', '<*>', '<*>')",2
E154,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'master.cf', 'smtp', 'process', 'limit')",1
E155,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'no', 'response')",1
E156,"('local@tbird-admin1', '<*>', 'warning:', '<*>', 'remove', '<*>', 'from', 'active:', 'No', 'such', 'file', 'or', 'directory')",14
E157,"('local@tbird-admin1', '<*>', 'warning:', 'stdin:', 'unexpected', 'EOF', 'in', 'data,', 'record', 'type', '<*>', 'length', '<*>')",1
E158,"('<*>', '<*>', 'no', 'more', 'authentication', 'methods', 'on', 'remote:', ""'No"", 'further', 'authentication', 'methods', ""available.'"")",11
E159,"('<*>', 'mount:', 'mount.panfs', 'warning:', ""couldn't"", 'ping', 'address', '<*>', 'using', '<*>', '<*>', '(pan_sock:', 'timeout)')",2
E160,"('<*>', 'kernel:', '<*>', '<*>', 'priv_mosal_mlock:', 'could', 'not', 'find', '<*>', '<*>', 'in', 'the', 'hash')",445
E161,"('<*>', 'kernel:', '<*>', 'Inside', 'CQM_create_cq:', 'Unable', 'to', 'register', 'HH', 'CQ.', 'hh_ret', '=', '<*>')",236
E162,"('local@tbird-admin1', '<*>', '<*>', '<*>', 'relay=none,', '<*>', 'status=deferred', '(connect', 'to', '<*>', 'Connection', 'timed', 'out)')",3
E163,"('<*>', 'kernel:', 'Bootdata', 'ok', '(command', 'line', 'is', '<*>', 'console=tty0', 'console=ttyS0,', '<*>', '<*>', ')')",8
E164,"('<*>', '<*>', 'Connection', 'broken', 'to', '<*>', 'reopening', 'in', '<*>', 'seconds')",111
E165,"('<*>', 'logger:', 'Kickstart', 'Install:', 'Torque', 'Mom', 'and', 'Maui', 'speconf', 'Tree')",1275
E166,"('<*>', 'logger:', 'Kickstart', 'Install:', 'Setup', 'to', 'become', 'a', 'Tbird', 'login')",1267
E167,"('<*>', '<*>', '<*>', 'report', 'any', 'problems', '<*>', '<*>', '/usr/bin/mysqlbug', 'script!')",1
E168,"('<*>', '<*>', '<*>', 'sda2', 'sda3', 'sda4', '<*>', '<*>', 'sda6', '>')",1
E169,"('<*>', '<*>', '<*>', '<*>', 'no', 'active', '<*>', '<*>', 'check', 'cables')",1
E170,"('<*>', '<*>', '<*>', '<*>', '<*>', 'XHH_hob_register_mr:', '<*>', '<*>', 'FATAL', 'state')",1
E171,"('<*>', 'dhcpd:', 'Wrote', '<*>', 'deleted', 'host', 'decls', 'to', 'leases', 'file.')",372
E172,"('local@tbird-admin1', '<*>', 'data_thread()', 'got', 'not', 'answer', 'from', 'any', '<*>', 'datasource')",981472
E173,"('<*>', 'dhcpd:', 'DHCPREQUEST', 'for', '<*>', '<*>', 'from', '<*>', 'via', '<*>')",10999
E174,"('<*>', 'kernel:', 'Lustre:', 'OBD', 'class', 'driver', 'Build', 'Version:', '<*>', '<*>')",16
E175,"('<*>', 'kernel:', 'Vendor:', 'PE/PV', 'Model:', '<*>', 'SCSI', 'BP', 'Rev:', '<*>')",3732
E176,"('<*>', 'kernel:', 'EXT3-fs:', 'write', 'access', '<*>', 'be', 'enabled', 'during', 'recovery.')",1748
E177,"('<*>', 'kernel:', 'PCI-DMA:', 'Using', 'software', 'bounce', 'buffering', 'for', 'IO', '(SWIOTLB)')",3843
E178,"('<*>', 'kernel:', 'Placing', 'software', 'IO', 'TLB', 'between', '<*>', '-', '<*>')",3950
E179,"('<*>', 'kernel:', 'TCP:', 'Hash', 'tables', 'configured', '(established', '<*>', 'bind', '<*>')",3860
E180,"('<*>', 'kernel:', 'divert:', 'not', 'allocating', 'divert_blk', 'for', 'non-ethernet', 'device', '<*>')",8072
E181,"('<*>', 'kernel:', 'mice:', '<*>', 'mouse', 'device', 'common', 'for', 'all', 'mice')",3856
E182,"('<*>', '<*>', 'bindcache:', 'failed', 'init', 'IPS:', '<*>', '(Out', 'of', 'memory)')",7984
E183,"('<*>', 'Server', 'Administrator:', 'Instrumentation', 'Service', 'EventID:', '<*>', 'Server', 'Administrator', 'starting')",16909
E184,"('<*>', 'kernel:', 'pan_common:', 'registered', 'major', 'number', '<*>', 'for', 'device', 'panasas')",7901
E185,"('<*>', 'kernel:', 'pan_kmod:', '<*>', 'subdev', '<*>', '(""PANASAS', 'kernel', 'trace', 'facility"")')",11952
E186,"('<*>', 'kernel:', 'panfs', 'mount:', 'Byte', 'range', 'locking', 'is', 'turned', 'ON')",7978
E187,"('<*>', 'kernel:', '<*>', 'no', 'version', 'for', '""struct_module""', 'found:', 'kernel', 'tainted.')",6464
E188,"('local@tbird-admin1', 'CPU:', 'Trace', 'cache:', '<*>', 'uops,', '<*>', 'D', 'cache:', '<*>')",58
E189,"('<*>', '<*>', 'hash', 'table', 'entries:', '<*>', '<*>', '<*>', '<*>', 'bytes)')",49
E190,"('local@tbird-admin1', '<*>', 'apic_id', '<*>', 'version', '<*>', 'address', '<*>', 'GSI', '<*>')",36
E191,"('<*>', 'IP:', 'routing', '<*>', '<*>', '<*>', '<*>', '<*>', 'buckets,', '<*>')",13
E192,"('<*>', 'Vendor:', 'MegaRAID', '<*>', '<*>', '<*>', '<*>', '<*>', 'Rev:', '<*>')",13
E193,"('<*>', 'megaraid:', 'probe', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",13
E194,"('<*>', 'SCSI', 'device', 'sda:', '<*>', '<*>', 'hdwr', 'sectors', '<*>', 'MB)')",13
E195,"('local@tbird-admin1', 'There', 'is', 'already', 'a', 'security', 'framework', 'initialized,', 'register_security', 'failed.')",12
E196,"('<*>', '<*>', 'scanning', 'scsi', 'channel', '<*>', '[virtual]', 'for', 'logical', 'drives')",13
E197,"('<*>', 'serio:', '<*>', '<*>', 'port', 'at', '<*>', '<*>', 'irq', '<*>')",26
E198,"('<*>', 'kernel:', 'input:', 'AT', 'Translated', 'Set', '<*>', 'keyboard', 'on', '<*>')",72
E199,"('src@tbird-sm1', '<*>', '<*>', 'Failed', 'to', 'GetNodeInfo()', 'because', 'of', 'NO', 'RESPONSE')",240005
E200,"('<*>', '<*>', 'smartd', 'has', 'fork()ed', 'into', 'background', 'mode.', 'New', '<*>')",650
E201,"('<*>', 'kernel:', 'scsi0', ':', 'ioc0:', '<*>', '<*>', '<*>', '<*>', '<*>')",694
E202,"('<*>', 'dhcpd:', 'in', 'your', 'dhcpd.conf', 'file', 'for', 'the', 'network', 'segment')",348
E203,"('src@tbird-sm1', '<*>', '[INFO]:', 'Configuration', 'caused', 'by', 'previous', 'GET/SET', 'operation', 'failures')",157
E204,"('<*>', '<*>', 'authentication', 'cancelled', 'by', 'user:', ""'Authentication"", 'cancelled', 'by', ""user.'"")",8
E205,"('<*>', '<*>', 'Key', 'exchange', 'failed', 'in', 'remote:', ""'Key"", 'exchange', ""failed.'"")",18
E206,"('src@aadmin2', 'atkbd.c:', 'Keyboard', 'on', '<*>', 'reports', 'too', 'many', 'keys', 'pressed.')",2
E207,"('<*>', 'kernel:', '<*>', ""can't"", 'find', 'hw', 'address', 'for', 'hash', '<*>')",770
E208,"('src@tbird-sm1', '<*>', '<*>', 'Detect', 'switch', '(LID=', '<*>', 'port', 'state', 'change')",103
E209,"('<*>', 'fsck:', 'Clearing', 'orphaned', 'inode', '<*>', '<*>', '<*>', '<*>', '<*>')",345
E210,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'System', 'Image', 'GUID', '<*>')",1
E211,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'block', '-', '<*>', '<*>')",1
E212,"('src@tbird-sm1', '<*>', '<*>', 'Failed', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",331
E213,"('<*>', '<*>', '<*>', '<*>', 'spine', '<*>', '<*>', 'chassis,', 'splitting', 'switch_elem')",1
E214,"('<*>', '<*>', '<*>', '<*>', 'that', '<*>', '<*>', 'skips', 'unavailable', 'hosts')",1
E215,"('<*>', '<*>', '<*>', '<*>', 'to', '<*>', '<*>', 'for', 'checking', 'SwitchInfo:port_state_change')",1
E216,"('<*>', '<*>', '<*>', 'SYSERR(root):', 'returntosender:', 'cannot', 'select', 'queue', 'for', '<*>')",32
E217,"('<*>', 'kernel:', 'Lustre:', 'Routing', 'socket', 'NAL', 'unloaded', '(final', 'mem', '<*>')",15
E218,"('<*>', '<*>', 'authentication', 'failure;', 'logname=LOGIN', '<*>', '<*>', '<*>', 'ruser=', 'rhost=')",6
E219,"('<*>', 'kernel:', 'LustreError:', '<*>', 'OBD', 'ioctl:', 'device', 'not', 'setup', '<*>')",11
E220,"('<*>', '<*>', 'lctl', 'R', 'running', 'task', '<*>', '<*>', '<*>', '(NOTLB)')",11
E221,"('<*>', '<*>', 'authenticated', 'mount', 'request', 'from', '<*>', '<*>', '<*>', '(/var/lib/oneSIS/images)')",11
E222,"('<*>', 'kernel:', 'LustreError:', '<*>', 'OBD', 'device', '<*>', 'still', 'set', 'up')",2
E223,"('<*>', '<*>', 'mount.panfs', 'warning:', 'mounting', 'panfs', 'in', 'an', 'untested', 'environment!!')",23
E224,"('<*>', 'mount:', 'mount.panfs:', 'panfs', 'is', 'not', 'configured', 'in', 'the', 'kernel')",4
E225,"('<*>', '<*>', 'wall:', '<*>', '<*>', 'broadcasted', '<*>', 'lines', '<*>', 'chars)')",4
E226,"('<*>', 'Administrator:', 'Instrumentation', '<*>', '<*>', '<*>', '<*>', 'Administrator', '<*>', 'complete')",2
E227,"('<*>', '<*>', '/sbin/ip', 'route', '<*>', '<*>', 'via', '<*>', 'dev', '<*>')",2
